t1,t2,t3,style,k,theta0_deg,source
*,c'_,*,quadratic,65,120,cvff_auto
*,c3m_,*,quadratic,60,109.5,cvff_auto
*,c4m_,*,quadratic,60,109.5,cvff_auto
*,c=_,*,quadratic,60,120,cvff_auto
*,c_,*,quadratic,60,109.5,cvff_auto
*,cp_,*,quadratic,65,120,cvff_auto
*,ct_,*,quadratic,200,180,cvff_auto
*,n3m_,*,quadratic,80,109,cvff_auto
*,n4m_,*,quadratic,80,109,cvff_auto
*,n_,*,quadratic,50,120,cvff_auto
*,na_,*,quadratic,80,109,cvff_auto
*,np_,*,quadratic,75,120,cvff_auto
*,nt_,*,quadratic,50,180,cvff_auto
*,o_,*,quadratic,60,109.5,cvff_auto
*,oa1,et5,quadratic,80,110,cvff
*,oe1,et5,quadratic,80,110,cvff
*,op_,*,quadratic,75,108,cvff_auto
*,p_,*,quadratic,45,109.5,cvff_auto
*,s3e_,*,quadratic,75,109.5,cvff_auto
*,s4e_,*,quadratic,75,109.5,cvff_auto
*,s_,*,quadratic,50,109.5,cvff_auto
*,si_,*,quadratic,44.399999999999999,113.5,cvff_auto
*,sp_,*,quadratic,120,92.566999999999993,cvff_auto
*1,c'_,si_,quadratic,34.600000000000001,120,cvff_auto
*1,c3m_,si_,quadratic,34.600000000000001,112.3,cvff_auto
*1,c4m_,si_,quadratic,34.600000000000001,112.3,cvff_auto
*1,c=_,si_,quadratic,34.600000000000001,120,cvff_auto
*1,c_,si_,quadratic,34.600000000000001,112.3,cvff_auto
*1,cp_,si_,quadratic,34.600000000000001,120,cvff_auto
*1,n3m_,si_,quadratic,41.600000000000001,109,cvff_auto
*1,n4m_,si_,quadratic,41.600000000000001,109,cvff_auto
*1,n_,si_,quadratic,35,120,cvff_auto
*1,na_,si_,quadratic,41.600000000000001,109,cvff_auto
*1,np_,si_,quadratic,27.5,120,cvff_auto
*1,o_,si_,quadratic,56.399999999999999,124.09999999999999,cvff_auto
*1,op_,si_,quadratic,27.5,106,cvff_auto
*1,p_,si_,quadratic,30,109.5,cvff_auto
*1,s3e_,si_,quadratic,48,109.5,cvff_auto
*1,s4e_,si_,quadratic,48,109.5,cvff_auto
*1,s_,si_,quadratic,48,109.5,cvff_auto
*1,si_,si_,quadratic,33.299999999999997,113.40000000000001,cvff_auto
*1,sp_,si_,quadratic,48,96,cvff_auto
*2,c'_,h_,quadratic,55,110,cvff_auto
*2,c3m_,h_,quadratic,44,109.5,cvff_auto
*2,c4m_,h_,quadratic,44,109.5,cvff_auto
*2,c=_,h_,quadratic,37.5,120,cvff_auto
*2,c_,h_,quadratic,44,109.5,cvff_auto
*2,cp_,h_,quadratic,37,120,cvff_auto
*2,n3m_,f_,quadratic,80,109,cvff_auto
*2,n4m_,f_,quadratic,80,109,cvff_auto
*2,n_,f_,quadratic,50,120,cvff_auto
*2,na_,f_,quadratic,80,109,cvff_auto
*2,np_,f_,quadratic,75,120,cvff_auto
*2,o_,h_,quadratic,58.5,109,cvff_auto
*2,p_,h_,quadratic,45,109.5,cvff_auto
*2,s3e_,h_,quadratic,31.800000000000001,112,cvff_auto
*2,s4e_,h_,quadratic,31.800000000000001,112,cvff_auto
*2,s_,h_,quadratic,31.800000000000001,112,cvff_auto
*2,si_,h_,quadratic,31.800000000000001,112,cvff_auto
*2,sp_,h_,quadratic,48,96,cvff_auto
*3,c'_,f_,quadratic,99,120,cvff_auto
*3,c3m_,f_,quadratic,95,107.8,cvff_auto
*3,c4m_,f_,quadratic,95,107.8,cvff_auto
*3,c=_,f_,quadratic,96,120,cvff_auto
*3,c_,f_,quadratic,95,107.8,cvff_auto
*3,cp_,f_,quadratic,99,120,cvff_auto
*3,n3m_,h_,quadratic,41.600000000000001,110,cvff_auto
*3,n4m_,h_,quadratic,41.600000000000001,110,cvff_auto
*3,n_,h_,quadratic,35,122,cvff_auto
*3,na_,h_,quadratic,41.600000000000001,110,cvff_auto
*3,np_,h_,quadratic,27.5,120,cvff_auto
*3,o_,f_,quadratic,60,109.5,cvff_auto
*3,p_,f_,quadratic,45,109.5,cvff_auto
*3,s3e_,f_,quadratic,75,109.5,cvff_auto
*3,s4e_,f_,quadratic,75,109.5,cvff_auto
*3,s_,f_,quadratic,75,109.5,cvff_auto
*3,si_,f_,quadratic,44.100000000000001,117.3,cvff_auto
*3,sp_,f_,quadratic,126.506,92.566999999999993,cvff_auto
*4,c'_,s'_,quadratic,80,123,cvff_auto
*4,c3m_,s'_,quadratic,62,109.5,cvff_auto
*4,c3m_,s3e_,quadratic,62,109.5,cvff_auto
*4,c3m_,s4e_,quadratic,62,109.5,cvff_auto
*4,c3m_,s_,quadratic,62,109.5,cvff_auto
*4,c4m_,s'_,quadratic,62,109.5,cvff_auto
*4,c4m_,s3e_,quadratic,62,109.5,cvff_auto
*4,c4m_,s4e_,quadratic,62,109.5,cvff_auto
*4,c4m_,s_,quadratic,62,109.5,cvff_auto
*4,c=_,s'_,quadratic,40,120,cvff_auto
*4,c=_,s3e_,quadratic,40,120,cvff_auto
*4,c=_,s4e_,quadratic,40,120,cvff_auto
*4,c=_,s_,quadratic,40,120,cvff_auto
*4,c_,s'_,quadratic,62,109.5,cvff_auto
*4,c_,s3m_,quadratic,62,109.5,cvff_auto
*4,c_,s4m_,quadratic,62,109.5,cvff_auto
*4,c_,s_,quadratic,62,109.5,cvff_auto
*4,cp_,s'_,quadratic,60,120,cvff_auto
*4,cp_,s3e_,quadratic,89,120,cvff_auto
*4,cp_,s4e_,quadratic,89,120,cvff_auto
*4,cp_,s_,quadratic,89,120,cvff_auto
*4,n3m_,s'_,quadratic,80,114,cvff_auto
*4,n4m_,s'_,quadratic,80,114,cvff_auto
*4,n_,s'_,quadratic,70,120,cvff_auto
*4,na_,s'_,quadratic,80,114,cvff_auto
*4,np_,s'_,quadratic,75,120,cvff_auto
*4,np_,s3e_,quadratic,75,120,cvff_auto
*4,np_,s4e_,quadratic,75,120,cvff_auto
*4,np_,s_,quadratic,75,120,cvff_auto
*4,o_,s'_,quadratic,60,109.5,cvff_auto
*4,o_,s3e_,quadratic,60,109.5,cvff_auto
*4,o_,s4e_,quadratic,60,109.5,cvff_auto
*4,o_,s_,quadratic,60,109.5,cvff_auto
*4,p_,s'_,quadratic,100,120,cvff_auto
*4,s3e_,s'_,quadratic,75,109.5,cvff_auto
*4,s3e_,s3e_,quadratic,75,103.5,cvff_auto
*4,s3e_,s4e_,quadratic,75,103.5,cvff_auto
*4,s3e_,s_,quadratic,75,109.5,cvff_auto
*4,s4e_,s'_,quadratic,75,109.5,cvff_auto
*4,s4e_,s3e_,quadratic,75,103.5,cvff_auto
*4,s4e_,s4e_,quadratic,75,103.5,cvff_auto
*4,s4e_,s_,quadratic,75,109.5,cvff_auto
*4,s_,s'_,quadratic,75,109.5,cvff_auto
*4,s_,s3e_,quadratic,75,103.5,cvff_auto
*4,s_,s4e_,quadratic,75,103.5,cvff_auto
*4,s_,s_,quadratic,75,103.5,cvff_auto
*4,si_,s_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*4,sp_,s'_,quadratic,126.506,92.566999999999993,cvff_auto
*4,sp_,s_,quadratic,126.506,92.566999999999993,cvff_auto
*5,c'_,s3e_,quadratic,40,120,cvff_auto
*5,c'_,s4e_,quadratic,40,120,cvff_auto
*5,c'_,s_,quadratic,40,120,cvff_auto
*5,c3m_,o'_,quadratic,70,109.5,cvff_auto
