atom_type,element,mass_amu,vdw_style,lj_a,lj_b,notes
Ag,Ag,107.86799621582031,lj_ab_12_6,2021000,6072,0 Silver metal
Al,Al,26.982000350952148,lj_ab_12_6,1577000,5035,0 Aluminium metal
Au,Au,196.96699523925781,lj_ab_12_6,2307000,6987,0 Gold metal
Br,Br,79.903999328613281,lj_ab_12_6,65980990.030000001,10014.544599999999,"1 Bromide ion Br- , proposed IFF parameters"
BrIL,Br,79.903999328613281,lj_ab_12_6,24406103.879999999,5501.2334099999998,"1 new Br type for Ionic Liquid bromide anions, By IWArmstrong"
CG311,C,12.011150360107422,lj_ab_12_6,536870.91000000003,262.14400000000001,3 Carbon atom in diiodomethane (-0.086)
Cl,Cl,35.452999114990234,lj_ab_12_6,26270670.289999999,5707.5069999999996,"1 Chloride ion Cl- , proposed IFF parameters"
ClIL,Cl,35.452999114990234,lj_ab_12_6,8816314.3249999993,3099.9648999999999,"1 new Cl type for Ionic Liquid chloride anions, By IWArmstrong"
Cr,Cr,51.995998382568359,lj_ab_12_6,1222517.4049,7523.4669999999996,0 Chromium metal
Cu,Cu,63.546001434326172,lj_ab_12_6,484800,3026,0 Copper metal
Fe,Fe,55.847000122070312,lj_ab_12_6,1186612.1982,7590.2829599999995,0 Iron metal
HGA1,H,1.0079699754714966,lj_ab_12_6,6177.75,33.350000000000001,1 Hydrogen atom in diiodomethane (+0.09)
IGA1,I,126.90399932861328,lj_ab_12_6,37389580.229999997,10590.969999999999,1 Iodine atom in diiodomethane (-0.047)
K,K,39.102001190185547,lj_ab_12_6,24856948.194200002,23280.483199999999,0 Potassium metal
Li,Li,6.940000057220459,lj_ab_12_6,5192358.6600000001,9916.8176800000001,0 Lithium metal
Mo,Mo,95.94000244140625,lj_ab_12_6,5869689.0344000002,21298.663039999999,0 Molybdenum metal
Na,Na,22.989799499511719,lj_ab_12_6,14000,300,1 Sodium ion
Na,Na,22.989999771118164,lj_ab_12_6,14000,300,0 Sodium metal
Ni,Ni,58.709999084472656,lj_ab_12_6,431100,3121,0 Nickel metal
Pb,Pb,207.19999694824219,lj_ab_12_6,12350000,12030,0 Lead metal
Pd,Pd,106.40000152587891,lj_ab_12_6,1549000,6173,0 Palladium metal
Pt,Pt,195.08999633789062,lj_ab_12_6,2193000,8272,0 Platinum metal
Sn,Sn,118.69000244140625,lj_ab_12_6,,,0 Tin metal
W,W,183.85000610351562,lj_ab_12_6,7876811.6339999996,27853.239150000001,0 Tungsten metal
